Participant name: 
Nausea Reduction: False
Claustrophobia Reduction: False
Experiment Date & Time: 2019-Mar-21 12:03
Configuration Type: default
Configuration File Name: --
Application Version: 1.6

Global_Time_Seconds,Current_Day,Day_Time_Seconds,Current_State,Head_X_Position_Meters,Head_Y_Position_Meters,Head_Z_Position_Meters,Head_X_Rotation_Degrees,Head_Y_Rotation_Degrees,Head_Z_Rotation_Degrees,L_Hand_X_Position_Meters,L_Hand_Y_Position_Meters,L_Hand_Z_Position_Meters,R_Hand_X_Position_Meters,R_Hand_Y_Position_Meters,R_Hand_Z_Position_Meters,Bucket_X_Position_Meters,Bucket_Y_Position_Meters,Bucket_Z_Position_Meters,Avg_Moving_Speed_Last_Second_M/sec,Current_Water_In_Bucket,Cumulative_Water_Carried,Today_Water_Carried,Cumulative_Water_Spilled,Today_Water_Spilled,Cumulative_Water_Delivered,Today_Water_Delivered,Total_Score,Today_Score,Current_Pay_Per_Drop,Shake_Impairment_Day_Current_Strength_Pcnt,Shake_Impairment_Day_Initial_Strength_Pcnt,Seconds_Waited_Treatment_Day,Amount_Payed_Treatment_Day,Seconds_Waited_Treatment_Total,Amount_Payed_For_Treatment_Total
1.006014,0,0,RUNNING,0.1694722,0.5079743,0.7020414,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.8829613,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.011565,0,0,RUNNING,0.1694213,0.5077558,0.7022038,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002769429,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.016789,0,0,RUNNING,0.1693411,0.5079246,0.7022211,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001877182,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.022093,0,0,RUNNING,0.1693566,0.5080637,0.7021761,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001470271,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.027385,0,0,RUNNING,0.1694347,0.5078351,0.7021295,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002460946,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.032567,0,0,RUNNING,0.1694056,0.5077617,0.7021925,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001010568,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7.037858,0,0,RUNNING,0.1696489,0.5076751,0.7019343,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0003652382,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8.043138,0,0,RUNNING,0.169441,0.5079112,0.701972,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0003168493,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9.04882,0,0,RUNNING,0.1695596,0.5077129,0.7020366,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002399747,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10.0539,0,0,RUNNING,0.1695,0.5078954,0.7020504,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001924411,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11.05895,0,0,RUNNING,0.1695243,0.5079197,0.7020234,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,4.374613E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12.06427,0,0,RUNNING,0.169597,0.5078377,0.702114,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001421897,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13.06971,0,0,RUNNING,0.1694738,0.5077803,0.7020614,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001458308,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14.07479,0,0,RUNNING,0.1693906,0.5077972,0.7021319,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001102711,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.08035,0,0,RUNNING,0.1694064,0.507839,0.7022304,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001082198,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.0856,0,0,RUNNING,0.169512,0.5079545,0.7021202,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001914592,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.09088,0,0,RUNNING,0.1692209,0.5080121,0.7020829,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002991155,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.09604,0,0,RUNNING,0.1694859,0.5079268,0.7021569,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002880706,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.10139,0,0,RUNNING,0.1694505,0.5078669,0.7021874,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,7.596671E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20.10646,0,0,RUNNING,0.169355,0.5077463,0.7021858,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001537421,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21.11176,0,0,RUNNING,0.169437,0.5077948,0.7020393,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001746763,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.1176,0,0,RUNNING,0.1694592,0.507896,0.7021267,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001354745,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23.1228,0,0,RUNNING,0.1694295,0.5078387,0.7020599,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,9.284934E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24.12809,0,0,RUNNING,0.1693507,0.5079922,0.7020965,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001763646,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25.13316,0,0,RUNNING,0.1693683,0.507917,0.7020297,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001020246,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26.13873,0,0,RUNNING,0.1694112,0.5078458,0.7020718,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,9.322649E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27.14355,0,0,RUNNING,0.169421,0.5078713,0.7020486,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,3.592778E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28.14941,0,0,RUNNING,0.1693999,0.5077925,0.7021425,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.000124409,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29.15429,0,0,RUNNING,0.1692949,0.5079735,0.7019749,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002680749,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30.15983,0,0,RUNNING,0.1693793,0.5077178,0.7020615,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002828527,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31.16508,0,0,RUNNING,0.1693504,0.5078737,0.7021685,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001911958,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
